,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
223,EUR199530,weekend,N,rural_bare,279.5733337,6.867509842,-32.46417236,677,0.128067762,0.183968738,1.464877605
224,EUR199531,workday,D,urban,292.9291687,16.31486511,-14.70826149,729,0.123781204,0.182285517,0.600586474
225,EUR199531,workday,D,rural_bare,290.2303467,14.2834177,-19.42482758,310,0.230138719,0.33699733,1.00700736
226,EUR199531,weekend,D,urban,292.765686,15.92166901,-13.61436653,327,0.185575679,0.274493903,0.917290211
227,EUR199531,weekend,D,rural_bare,290.0345154,13.59249115,-16.9400425,147,0.340507865,0.533604443,1.511389494
228,EUR199531,workday,N,urban,281.0653687,8.180950165,-29.38522148,1710,0.077062219,0.111549512,0.750828564
229,EUR199531,workday,N,rural_bare,279.1513672,8.208049774,-33.35744858,496,0.159593299,0.191378817,1.624348164
230,EUR199531,weekend,N,urban,281.1770325,8.036793709,-27.49858284,730,0.117517352,0.170297727,1.169523478
231,EUR199531,weekend,N,rural_bare,279.3864441,7.844020844,-32.22617722,188,0.25331378,0.29980424,2.702398777
232,EUR199532,workday,D,urban,292.8700562,19.41598892,-16.75338364,1019,0.126859263,0.200723141,0.478083074
233,EUR199532,workday,D,rural_bare,291.3805542,18.95039368,-21.0175209,726,0.175856084,0.278885961,0.632993162
234,EUR199532,weekend,D,urban,292.7083435,19.13018417,-16.21582222,445,0.197581381,0.324178904,0.728208899
235,EUR199532,weekend,D,rural_bare,291.2378235,18.39648819,-21.40628052,308,0.292616308,0.492866009,0.983195662
236,EUR199532,workday,N,urban,281.4967346,11.99939632,-26.04717064,1766,0.090534583,0.132854342,0.592606068
237,EUR199532,workday,N,rural_bare,278.741333,11.00998116,-29.39629745,1044,0.116365924,0.164186358,0.842998683
